Irange,NPLC,T step start time,Chip group name,Chip number,Information,Initial (current) T,Laser ON+OFF period,Laser voltage,Laser wavelength,Procedure version,Sample,Sampling time (excluding Keithley),Target T,VDS,VG,Laser toggle,source_file,N_avg,Optical fiber,Step time,Laser voltage end,Laser voltage start,Laser voltage step,Burn-in time,VG end,VG start,VG step,VSD end,VSD start,VSD step
0.001,1.0,120.0,Alisson,75.0,Light testing 365 mn,0.0,120.0,1.78,365.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_12_sept/It2025-09-12_7.csv,,,,,,,,,,,,,
,,,,,365 max current calib,,,,365.0,1.1.1,,,,,,,raw_data/Alisson_12_sept/LaserCalibration2025-09-12_1.csv,2.0,F1 (M92L02),2.0,5.0,0.0,0.1,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 455 mn,0.0,120.0,0.9,455.0,2.2.0,other,0.0,25.0,0.1,-3.0,true,raw_data/Alisson_12_sept/It2025-09-12_11.csv,,,,,,,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 365 mn,0.0,120.0,4.71,365.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_12_sept/It2025-09-12_10.csv,,,,,,,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 365 mn,0.0,120.0,0.88,365.0,2.2.0,other,0.0,25.0,0.1,3.0,true,raw_data/Alisson_12_sept/It2025-09-12_6.csv,,,,,,,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 365 mn,0.0,120.0,3.71,365.0,2.2.0,other,0.0,25.0,0.1,-3.0,true,raw_data/Alisson_12_sept/It2025-09-12_4.csv,,,,,,,,,,,,,
,,,,,max current calib,,,,455.0,1.1.1,,,,,,,raw_data/Alisson_12_sept/LaserCalibration2025-09-12_2.csv,2.0,F1 (M92L02),2.0,5.0,0.0,0.1,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 455 mn,0.0,120.0,1.71,455.0,2.2.0,other,0.0,25.0,0.1,-3.0,true,raw_data/Alisson_12_sept/It2025-09-12_12.csv,,,,,,,,,,,,,
0.001,1.0,120.0,Alisson,75.0,Light testing 455 mn,0.0,120.0,2.59,455.0,2.2.0,other,0.0,25.0,0.1,-3.0,true,raw_data/Alisson_12_sept/It2025-09-12_13.csv,,,,,,,,,,,,,
,,,,,max current calib,,,,565.0,1.1.1,,,,,,,raw_data/Alisson_12_sept/LaserCalibration2025-09-12_3.csv,2.0,F1 (M92L02),2.0,5.0,0.0,0.1,,,,,,,
